epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,173.676,1.60955,4.17262,1.87874,0.7027,0.05221,0.04555,0.02042,1.73112,3.23747,2.13468,0.00332311,0.00332311,0.00332311
2,335.85,1.61754,3.5694,1.85983,0.20438,0.17935,0.11084,0.04419,2.01102,3.072,2.32628,0.00663448,0.00663448,0.00663448
3,493.147,1.68643,3.28168,1.90256,0.27082,0.14299,0.07473,0.02861,2.14202,3.08229,2.50666,0.00992384,0.00992384,0.00992384
4,649.821,1.72823,3.18743,1.93976,0.37837,0.1671,0.11061,0.0426,2.03243,3.06578,2.39684,0.009901,0.009901,0.009901
5,806.225,1.6897,2.94086,1.91164,0.26365,0.23217,0.15618,0.06986,1.95981,2.81056,2.26844,0.009868,0.009868,0.009868
6,963.164,1.66547,2.77578,1.87713,0.3548,0.27495,0.24071,0.11069,1.91293,2.4904,2.26245,0.009835,0.009835,0.009835
7,1119.59,1.65527,2.63737,1.85618,0.36032,0.32986,0.27495,0.13131,1.87546,2.30311,2.20047,0.009802,0.009802,0.009802
8,1276.33,1.64662,2.55588,1.84397,0.42762,0.33866,0.30902,0.15891,1.77467,2.25537,2.13605,0.009769,0.009769,0.009769
9,1433.12,1.61809,2.49885,1.82394,0.46204,0.32673,0.31192,0.15314,1.83047,2.24308,2.18985,0.009736,0.009736,0.009736
10,1589.63,1.60557,2.40158,1.80128,0.43701,0.35931,0.31692,0.15076,1.80227,2.28249,2.10766,0.009703,0.009703,0.009703
11,1746.41,1.59513,2.33529,1.79342,0.49866,0.37685,0.37519,0.1818,1.78221,2.10582,2.10118,0.00967,0.00967,0.00967
12,1902.9,1.57269,2.27884,1.77854,0.41224,0.42157,0.38848,0.18958,1.74077,2.07341,2.06975,0.009637,0.009637,0.009637
13,2059.43,1.56246,2.23089,1.7643,0.52863,0.41712,0.41106,0.21143,1.7225,1.9693,2.00636,0.009604,0.009604,0.009604
14,2215.97,1.5551,2.17354,1.75326,0.5031,0.43943,0.43199,0.22409,1.73401,1.92089,2.05211,0.009571,0.009571,0.009571
15,2372.45,1.54746,2.17944,1.75356,0.47705,0.3951,0.3925,0.1994,1.75785,2.03475,2.08545,0.009538,0.009538,0.009538
16,2528.69,1.52934,2.09312,1.7295,0.48957,0.45169,0.45406,0.23475,1.72421,1.85855,2.01772,0.009505,0.009505,0.009505
17,2685.01,1.51658,2.0685,1.72322,0.5302,0.42311,0.44188,0.2226,1.70766,1.87651,1.99659,0.009472,0.009472,0.009472
